course_id,course_name,platform,category,sub_category,instructor,duration_hours,price_inr,rating,reviews,level,language,skills,description,certificate,popularity,prerequisites,completion_rate
C100025,Python Complete Bootcamp 25,edX,Programming,Python,Instructor_223,26,999,3.5,55828,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,136981,Computer Fundamentals,87.6
C100026,Python Complete Bootcamp 26,Coursera,Programming,Python,Instructor_466,47,4999,4.5,213709,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,279829,Basic Programming,68.0
C100027,Python Complete Bootcamp 27,Coursera,Programming,Python,Instructor_447,58,699,4.4,203483,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,249246,None,70.1
C100028,Python Complete Bootcamp 28,LinkedIn Learning,Programming,Python,Instructor_350,68,4999,4.7,27865,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,101299,Mathematics,37.7
C100029,Python Complete Bootcamp 29,Udemy,Programming,Python,Instructor_260,59,0,4.6,239253,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,322141,Basic Programming,78.6
C100030,Python Complete Bootcamp 30,DataCamp,Programming,Python,Instructor_261,70,4999,4.3,64971,Advanced,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,441401,Computer Fundamentals,43.6
C100031,Python Complete Bootcamp 31,Udemy,Programming,Python,Instructor_201,58,2499,3.6,63132,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,351996,Mathematics,84.4
C100032,Python Complete Bootcamp 32,edX,Programming,Python,Instructor_482,48,699,3.9,36030,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,209801,Computer Fundamentals,45.3
C100033,Python Complete Bootcamp 33,FutureLearn,Programming,Python,Instructor_83,57,3499,4.0,51363,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,379615,Mathematics,36.2
C100034,Python Complete Bootcamp 34,DataCamp,Programming,Python,Instructor_226,4,3499,4.0,163608,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,482583,Basic Programming,96.2
C100035,Python Complete Bootcamp 35,Udemy,Programming,Python,Instructor_44,35,1499,3.6,204259,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,430799,Computer Fundamentals,88.5
C100036,Python Complete Bootcamp 36,Skillshare,Programming,Python,Instructor_208,21,4999,4.6,23501,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,223988,None,51.9
C100037,Python Complete Bootcamp 37,Coursera,Programming,Python,Instructor_325,13,1499,3.6,224505,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,453342,None,63.6
C100038,Python Complete Bootcamp 38,LinkedIn Learning,Programming,Python,Instructor_284,55,1499,4.4,11376,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,85645,Mathematics,38.2
C100039,Python Complete Bootcamp 39,FutureLearn,Programming,Python,Instructor_478,41,1499,4.3,54017,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,142831,Mathematics,85.6
C100040,Python Complete Bootcamp 40,Skillshare,Programming,Python,Instructor_19,3,0,4.6,144504,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,491022,Computer Fundamentals,41.7
C100041,Python Complete Bootcamp 41,Khan Academy,Programming,Python,Instructor_337,65,3499,5.0,80733,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,180675,Basic Programming,87.4
C100042,Python Complete Bootcamp 42,edX,Programming,Python,Instructor_208,46,0,4.8,3786,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,86588,None,40.3
C100043,Python Complete Bootcamp 43,Khan Academy,Programming,Python,Instructor_446,66,1499,4.4,181633,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,98177,Basic Programming,51.9
C100044,Python Complete Bootcamp 44,Coursera,Programming,Python,Instructor_135,48,2499,5.0,143462,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,463625,Mathematics,48.7
C100045,Python Complete Bootcamp 45,edX,Programming,Python,Instructor_1,44,3499,3.6,73169,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,265626,None,40.7
C100046,Python Complete Bootcamp 46,Udemy,Programming,Python,Instructor_74,53,0,4.1,78600,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,308014,Basic Programming,76.4
C100047,Python Complete Bootcamp 47,Khan Academy,Programming,Python,Instructor_392,43,4999,3.7,189883,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,433462,Computer Fundamentals,81.2
C100048,Python Complete Bootcamp 48,edX,Programming,Python,Instructor_466,69,0,4.7,153158,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,17337,None,43.4
C100049,Python Complete Bootcamp 49,LinkedIn Learning,Programming,Python,Instructor_492,15,3499,4.8,146464,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,257531,Mathematics,35.2
C100050,Python Complete Bootcamp 50,Udemy,Programming,Python,Instructor_384,66,399,4.5,17364,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,425263,None,88.3
C100051,Python Complete Bootcamp 51,FutureLearn,Programming,Python,Instructor_374,28,999,4.6,120725,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,252139,Mathematics,83.3
C100052,Python Complete Bootcamp 52,FutureLearn,Programming,Python,Instructor_40,78,699,4.0,170845,Advanced,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,7537,Computer Fundamentals,38.8
C100053,Python Complete Bootcamp 53,Skillshare,Programming,Python,Instructor_498,14,999,4.5,76296,Advanced,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,245264,Computer Fundamentals,83.3
C100054,Python Complete Bootcamp 54,FutureLearn,Programming,Python,Instructor_160,12,4999,3.5,120366,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,203819,Basic Programming,92.7
C100055,Python Complete Bootcamp 55,FutureLearn,Programming,Python,Instructor_39,76,399,3.7,137430,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,317337,Mathematics,90.9
C100056,Python Complete Bootcamp 56,LinkedIn Learning,Programming,Python,Instructor_119,65,4999,4.1,41748,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,213556,Mathematics,80.8
C100057,Python Complete Bootcamp 57,Khan Academy,Programming,Python,Instructor_177,50,2499,3.7,86904,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,440935,Computer Fundamentals,42.6
C100058,Python Complete Bootcamp 58,FutureLearn,Programming,Python,Instructor_366,3,1499,3.9,17083,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,190115,Computer Fundamentals,82.6
C100059,Python Complete Bootcamp 59,Coursera,Programming,Python,Instructor_144,15,0,4.8,74924,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,140318,Computer Fundamentals,67.2
C100060,Python Complete Bootcamp 60,FutureLearn,Programming,Python,Instructor_396,49,3499,4.8,212901,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,378263,None,38.1
C100061,Python Complete Bootcamp 61,Khan Academy,Programming,Python,Instructor_231,80,699,4.5,75077,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,90528,Computer Fundamentals,61.1
C100062,Python Complete Bootcamp 62,Skillshare,Programming,Python,Instructor_153,34,1499,4.1,62614,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,63779,Basic Programming,75.5
C100063,Python Complete Bootcamp 63,Udemy,Programming,Python,Instructor_107,66,4999,4.3,118797,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,74188,Basic Programming,50.4
C100064,Python Complete Bootcamp 64,edX,Programming,Python,Instructor_176,73,399,4.0,96599,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,394036,Computer Fundamentals,59.1
C100065,Python Complete Bootcamp 65,FutureLearn,Programming,Python,Instructor_193,36,2499,4.6,130635,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,361056,Basic Programming,40.8
C100066,Python Complete Bootcamp 66,FutureLearn,Programming,Python,Instructor_197,53,4999,4.1,81843,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,223927,Computer Fundamentals,96.0
C100067,Python Complete Bootcamp 67,DataCamp,Programming,Python,Instructor_1,11,3499,4.9,243361,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,131267,None,49.1
C100068,Python Complete Bootcamp 68,edX,Programming,Python,Instructor_268,15,4999,3.6,203699,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,122937,None,75.7
C100069,Python Complete Bootcamp 69,Skillshare,Programming,Python,Instructor_493,18,1499,4.3,114719,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,37884,Mathematics,68.0
C100070,Python Complete Bootcamp 70,FutureLearn,Programming,Python,Instructor_199,35,999,4.7,351,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,147068,Mathematics,75.6
C100071,Python Complete Bootcamp 71,FutureLearn,Programming,Python,Instructor_244,69,999,4.3,7725,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,12422,Basic Programming,66.4
C100072,Python Complete Bootcamp 72,Khan Academy,Programming,Python,Instructor_42,34,999,4.5,242575,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,18876,Mathematics,80.3
C100073,Python Complete Bootcamp 73,LinkedIn Learning,Programming,Python,Instructor_350,52,999,3.5,76625,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,260887,Basic Programming,54.6
C100074,Python Complete Bootcamp 74,FutureLearn,Programming,Python,Instructor_119,61,999,3.9,233183,Intermediate,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,320867,Basic Programming,91.5
C100075,Python Complete Bootcamp 75,DataCamp,Programming,Python,Instructor_214,9,699,4.9,14299,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,218781,None,79.7
C100076,Python Complete Bootcamp 76,edX,Programming,Python,Instructor_202,59,2499,4.6,20854,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,98261,Computer Fundamentals,37.0
C100077,Python Complete Bootcamp 77,Khan Academy,Programming,Python,Instructor_430,49,2499,4.2,28612,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,43343,Mathematics,61.5
C100078,Python Complete Bootcamp 78,Udemy,Programming,Python,Instructor_288,28,3499,4.0,215420,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,26825,Computer Fundamentals,47.3
C100079,Python Complete Bootcamp 79,DataCamp,Programming,Python,Instructor_99,43,2499,4.6,124446,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,426629,Computer Fundamentals,37.6
C100080,Python Complete Bootcamp 80,Coursera,Programming,Python,Instructor_238,10,0,3.9,195946,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,143771,Mathematics,95.3
C100081,Python Complete Bootcamp 81,Coursera,Programming,Python,Instructor_135,42,1499,3.9,189205,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,434071,Basic Programming,41.8
C100082,Python Complete Bootcamp 82,DataCamp,Programming,Python,Instructor_489,51,1499,4.9,213644,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,96912,None,85.6
C100083,Python Complete Bootcamp 83,Skillshare,Programming,Python,Instructor_422,21,999,4.0,83817,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,269375,Basic Programming,59.7
C100084,Python Complete Bootcamp 84,edX,Programming,Python,Instructor_127,54,399,4.5,126322,Advanced,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,224637,None,97.2
C100085,Python Complete Bootcamp 85,Skillshare,Programming,Python,Instructor_320,12,999,3.6,130722,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,123786,Basic Programming,61.3
C100086,Python Complete Bootcamp 86,FutureLearn,Programming,Python,Instructor_383,70,399,4.7,77100,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,196544,Mathematics,81.5
C100087,Python Complete Bootcamp 87,FutureLearn,Programming,Python,Instructor_225,33,699,3.9,40242,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,34976,Computer Fundamentals,50.9
C100088,Python Complete Bootcamp 88,FutureLearn,Programming,Python,Instructor_260,69,999,4.5,26406,Advanced,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,54651,None,64.9
C100089,Python Complete Bootcamp 89,FutureLearn,Programming,Python,Instructor_431,59,2499,3.6,77035,Beginner,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,100390,Basic Programming,93.6
C100090,Python Complete Bootcamp 90,LinkedIn Learning,Programming,Python,Instructor_263,24,4999,4.4,203211,Advanced,English,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,335211,Mathematics,48.7
C100091,Python Complete Bootcamp 91,LinkedIn Learning,Programming,Python,Instructor_175,20,0,3.8,66874,Beginner,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,430304,Mathematics,60.8
C100092,Python Complete Bootcamp 92,LinkedIn Learning,Programming,Python,Instructor_95,41,399,3.8,208528,Intermediate,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,214998,None,85.1
C100093,Python Complete Bootcamp 93,edX,Programming,Python,Instructor_328,70,399,4.5,104323,Advanced,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,149531,Mathematics,61.3
C100094,Python Complete Bootcamp 94,Coursera,Programming,Python,Instructor_160,74,2499,4.1,4824,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,382698,Computer Fundamentals,47.8
C100095,Python Complete Bootcamp 95,Coursera,Programming,Python,Instructor_223,22,3499,3.7,23770,Intermediate,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,406303,Basic Programming,43.2
C100096,Python Complete Bootcamp 96,Coursera,Programming,Python,Instructor_283,20,3499,3.6,163154,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,183423,Mathematics,45.2
C100097,Python Complete Bootcamp 97,edX,Programming,Python,Instructor_474,10,399,4.1,197590,Beginner,Spanish,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,439982,None,96.5
C100098,Python Complete Bootcamp 98,DataCamp,Programming,Python,Instructor_162,8,3499,3.6,186777,Advanced,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",Yes,326610,Computer Fundamentals,73.7
C100099,Python Complete Bootcamp 99,FutureLearn,Programming,Python,Instructor_425,62,699,4.3,10984,Intermediate,Hindi,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,189328,None,44.4
C100100,Python Complete Bootcamp 100,FutureLearn,Programming,Python,Instructor_22,73,0,4.5,85037,Beginner,French,"Python, Programming, Projects, Hands-on","Comprehensive Python course with practical projects, quizzes, assessments and capstone.",No,289385,Mathematics,75.9
C100101,Java Complete Bootcamp 1,Skillshare,Programming,Java,Instructor_299,33,3499,4.1,96374,Intermediate,French,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",Yes,13255,None,74.0
C100102,Java Complete Bootcamp 2,DataCamp,Programming,Java,Instructor_239,32,4999,4.6,204515,Intermediate,Hindi,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,210894,None,39.2
C100103,Java Complete Bootcamp 3,LinkedIn Learning,Programming,Java,Instructor_221,48,399,4.7,132260,Advanced,English,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",Yes,334676,Basic Programming,40.2
C100104,Java Complete Bootcamp 4,LinkedIn Learning,Programming,Java,Instructor_399,67,399,3.6,132150,Intermediate,Hindi,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",Yes,450351,None,97.8
C100105,Java Complete Bootcamp 5,Udemy,Programming,Java,Instructor_100,18,4999,3.9,212647,Beginner,Hindi,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",Yes,437750,Mathematics,73.5
C100106,Java Complete Bootcamp 6,Skillshare,Programming,Java,Instructor_82,43,1499,4.9,119693,Beginner,Spanish,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,110221,Mathematics,73.8
C100107,Java Complete Bootcamp 7,FutureLearn,Programming,Java,Instructor_164,49,0,3.8,105816,Beginner,Spanish,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,470454,Computer Fundamentals,45.6
C100108,Java Complete Bootcamp 8,Skillshare,Programming,Java,Instructor_59,69,0,4.5,94363,Intermediate,English,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,281861,Computer Fundamentals,81.5
C100109,Java Complete Bootcamp 9,LinkedIn Learning,Programming,Java,Instructor_136,50,2499,4.4,94487,Intermediate,English,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,121611,Basic Programming,73.8
C100110,Java Complete Bootcamp 10,Coursera,Programming,Java,Instructor_152,68,1499,4.0,228193,Advanced,Spanish,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",Yes,392705,None,49.0
C100111,Java Complete Bootcamp 11,Skillshare,Programming,Java,Instructor_316,57,3499,4.3,234811,Beginner,Hindi,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,120149,None,36.4
C100112,Java Complete Bootcamp 12,Coursera,Programming,Java,Instructor_291,47,1499,3.7,93675,Advanced,Hindi,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,306969,Mathematics,72.1
C100113,Java Complete Bootcamp 13,FutureLearn,Programming,Java,Instructor_188,62,699,3.7,245571,Beginner,Hindi,"Java, Programming, Projects, Hands-on","Comprehensive Java course with practical projects, quizzes, assessments and capstone.",No,51229,None,75.2
