user_id,age,country,education,interest,skill_level,preferred_platform,learning_goal,weekly_hours,completed_courses
U00117,39,Canada,Graduate,Programming,Intermediate,Khan Academy,Interview Prep,29,14
U00118,32,Australia,Graduate,Programming,Beginner,edX,College Project,23,13
U00119,47,Australia,Student,Cybersecurity,Advanced,FutureLearn,College Project,27,47
U00120,34,Germany,Student,Cloud,Intermediate,Udemy,Upskilling,3,10
U00121,19,USA,Student,Design,Intermediate,LinkedIn Learning,Interview Prep,8,9
U00122,40,Canada,Graduate,Design,Advanced,Udemy,College Project,11,14
U00123,43,USA,Postgraduate,Cloud,Advanced,DataCamp,Promotion,10,48
U00124,41,India,Postgraduate,Web,Intermediate,edX,College Project,8,50
U00125,36,USA,Graduate,AI,Intermediate,LinkedIn Learning,Certification,22,26
U00126,22,UK,Graduate,Soft Skills,Beginner,Coursera,College Project,23,11
U00127,44,UK,Graduate,Mobile,Intermediate,FutureLearn,Career Switch,23,1
U00128,19,Germany,Student,Programming,Advanced,Udemy,Certification,8,32
U00129,22,Germany,Postgraduate,AI,Advanced,Udemy,College Project,8,9
U00130,44,India,Student,Web,Intermediate,Udemy,Certification,11,44
U00131,27,Canada,Postgraduate,Cloud,Beginner,Coursera,Promotion,13,43
U00132,32,UK,Student,Design,Intermediate,Skillshare,Promotion,18,6
U00133,31,USA,Student,Data Science,Intermediate,DataCamp,Certification,23,4
U00134,42,UK,Student,Web,Intermediate,Khan Academy,Promotion,23,29
U00135,22,Germany,Graduate,Mobile,Intermediate,Udemy,Upskilling,4,30
U00136,39,Germany,Postgraduate,Web,Beginner,Udemy,Upskilling,7,44
U00137,38,UK,Postgraduate,AI,Advanced,Skillshare,College Project,3,31
U00138,37,Germany,Graduate,Soft Skills,Advanced,FutureLearn,Upskilling,19,28
U00139,36,Canada,Postgraduate,Business,Beginner,LinkedIn Learning,College Project,26,39
U00140,47,UK,Student,Design,Beginner,LinkedIn Learning,Career Switch,25,33
U00141,21,UK,Student,Data Science,Intermediate,Udemy,College Project,23,0
U00142,32,Australia,Postgraduate,Soft Skills,Beginner,Coursera,College Project,28,2
U00143,32,USA,Graduate,Soft Skills,Advanced,Skillshare,Upskilling,13,15
U00144,20,Germany,Student,Cybersecurity,Beginner,edX,Career Switch,28,5
U00145,32,UK,Graduate,Data Science,Beginner,FutureLearn,Certification,3,16
U00146,21,Canada,Student,Programming,Advanced,Khan Academy,Interview Prep,16,18
U00147,20,Canada,Graduate,Business,Advanced,Khan Academy,Upskilling,15,0
U00148,53,Germany,Graduate,Cybersecurity,Beginner,FutureLearn,College Project,11,41
U00149,39,Australia,Student,Web,Beginner,LinkedIn Learning,Interview Prep,4,43
U00150,43,Australia,Graduate,Design,Beginner,Udemy,Certification,26,40
U00151,46,Australia,Postgraduate,Cybersecurity,Intermediate,Coursera,Career Switch,4,9
U00152,42,USA,Graduate,Soft Skills,Intermediate,Udemy,Upskilling,26,26
U00153,55,USA,Graduate,Business,Advanced,Khan Academy,College Project,29,21
U00154,53,India,Graduate,Soft Skills,Intermediate,edX,Promotion,27,26
U00155,53,UK,Graduate,Design,Beginner,Udemy,Career Switch,25,19
U00156,24,USA,Graduate,Cybersecurity,Intermediate,Udemy,College Project,26,4
U00157,30,USA,Graduate,Design,Intermediate,Coursera,Promotion,27,8
U00158,32,Canada,Postgraduate,Mobile,Advanced,DataCamp,College Project,8,7
U00159,29,UK,Student,AI,Advanced,Coursera,Interview Prep,27,45
U00160,22,Australia,Graduate,Web,Intermediate,DataCamp,Promotion,30,14
U00161,55,Canada,Graduate,Business,Beginner,Coursera,Promotion,14,45
U00162,40,UK,Student,Mobile,Beginner,edX,Promotion,16,49
U00163,30,Australia,Postgraduate,Cloud,Beginner,FutureLearn,Interview Prep,7,21
U00164,28,Germany,Student,Business,Advanced,Coursera,Upskilling,22,1
U00165,28,Germany,Graduate,Design,Advanced,Coursera,Upskilling,20,5
U00166,25,Australia,Graduate,Cybersecurity,Beginner,Khan Academy,Certification,5,17
U00167,44,UK,Graduate,Mobile,Beginner,DataCamp,Upskilling,27,12
U00168,30,Australia,Postgraduate,Soft Skills,Advanced,FutureLearn,Promotion,14,46
U00169,37,USA,Graduate,Data Science,Beginner,Udemy,Promotion,24,49
U00170,46,India,Student,Data Science,Intermediate,DataCamp,Career Switch,11,30
U00171,52,USA,Student,Cybersecurity,Advanced,edX,Certification,7,47
U00172,35,India,Student,Data Science,Intermediate,DataCamp,Career Switch,13,40
U00173,51,Germany,Graduate,Design,Intermediate,edX,Upskilling,14,43
U00174,50,India,Graduate,Web,Advanced,edX,Interview Prep,16,26
U00175,34,Germany,Graduate,Programming,Beginner,LinkedIn Learning,College Project,6,20
U00176,21,USA,Graduate,Design,Advanced,Udemy,Certification,28,10
U00177,22,Canada,Postgraduate,Programming,Intermediate,Skillshare,College Project,17,40
U00178,46,UK,Student,Data Science,Intermediate,LinkedIn Learning,Promotion,14,21
U00179,29,Canada,Student,Mobile,Advanced,Udemy,Interview Prep,15,3
U00180,44,India,Graduate,Cloud,Beginner,DataCamp,Interview Prep,12,34
U00181,54,USA,Student,Soft Skills,Advanced,DataCamp,Career Switch,2,3
U00182,45,Australia,Student,Cloud,Advanced,edX,Career Switch,16,12
U00183,42,Germany,Graduate,Cloud,Beginner,edX,Certification,18,22
U00184,54,India,Student,Mobile,Advanced,LinkedIn Learning,Promotion,21,18
U00185,20,UK,Student,Cybersecurity,Beginner,LinkedIn Learning,Interview Prep,8,42
U00186,40,Germany,Postgraduate,Cloud,Beginner,Skillshare,Certification,14,4
U00187,25,UK,Graduate,Data Science,Beginner,FutureLearn,Career Switch,22,21
U00188,50,UK,Student,AI,Intermediate,FutureLearn,College Project,13,39
U00189,29,UK,Student,Web,Intermediate,Udemy,Career Switch,15,42
U00190,26,India,Postgraduate,Web,Advanced,Udemy,Certification,19,34
U00191,27,Australia,Student,Data Science,Advanced,LinkedIn Learning,Interview Prep,26,16
U00192,18,UK,Postgraduate,AI,Advanced,Udemy,College Project,26,26
U00193,49,UK,Student,Design,Advanced,FutureLearn,Career Switch,5,15
U00194,45,USA,Student,AI,Advanced,DataCamp,Promotion,18,38
U00195,38,UK,Student,Soft Skills,Intermediate,FutureLearn,College Project,5,49
U00196,35,Germany,Postgraduate,Data Science,Beginner,Skillshare,Upskilling,16,13
U00197,19,Germany,Student,Soft Skills,Beginner,Coursera,College Project,8,9
U00198,38,USA,Student,Design,Intermediate,Skillshare,Upskilling,20,7
U00199,38,Australia,Postgraduate,Cybersecurity,Advanced,DataCamp,Upskilling,9,45
U00200,39,USA,Graduate,Design,Advanced,FutureLearn,College Project,10,47
U00201,39,Australia,Student,Programming,Advanced,Coursera,College Project,2,9
U00202,23,India,Graduate,Business,Beginner,DataCamp,Interview Prep,13,28
U00203,26,Canada,Graduate,Web,Beginner,FutureLearn,Certification,16,8
U00204,47,Canada,Postgraduate,Mobile,Beginner,Udemy,College Project,24,40
U00205,55,UK,Student,Cybersecurity,Intermediate,DataCamp,Career Switch,15,26
U00206,46,Germany,Student,Mobile,Beginner,Coursera,Promotion,10,39
U00207,26,Canada,Student,Web,Beginner,LinkedIn Learning,Career Switch,25,50
U00208,23,Australia,Graduate,Design,Advanced,Khan Academy,Upskilling,10,44
U00209,26,Germany,Postgraduate,Mobile,Beginner,LinkedIn Learning,Upskilling,5,14
U00210,35,Germany,Graduate,Programming,Intermediate,FutureLearn,Promotion,7,12
U00211,46,Australia,Graduate,Soft Skills,Advanced,edX,Interview Prep,22,28
U00212,43,Australia,Graduate,Web,Advanced,Udemy,College Project,29,15
U00213,20,India,Student,Cybersecurity,Beginner,Coursera,College Project,11,20
U00214,45,UK,Postgraduate,Cloud,Intermediate,LinkedIn Learning,Career Switch,15,10
U00215,27,Germany,Postgraduate,Soft Skills,Advanced,Khan Academy,Interview Prep,17,29
U00216,51,UK,Student,Cybersecurity,Beginner,Udemy,Promotion,22,5
U00217,42,Australia,Graduate,Cybersecurity,Advanced,FutureLearn,Interview Prep,30,25
U00218,44,Canada,Postgraduate,Soft Skills,Advanced,Khan Academy,Career Switch,18,42
U00219,35,Canada,Graduate,Soft Skills,Beginner,Khan Academy,Promotion,23,21
U00220,37,Germany,Student,Cloud,Intermediate,edX,Interview Prep,25,6
U00221,24,Canada,Postgraduate,AI,Beginner,Khan Academy,Career Switch,10,33
U00222,46,Germany,Graduate,Programming,Intermediate,Coursera,Interview Prep,20,42
U00223,24,USA,Student,Data Science,Intermediate,Skillshare,Promotion,16,10
U00224,39,Canada,Graduate,AI,Beginner,LinkedIn Learning,Certification,4,14
U00225,54,Australia,Student,Data Science,Beginner,Coursera,Upskilling,25,38
U00226,43,Canada,Postgraduate,Mobile,Beginner,LinkedIn Learning,Interview Prep,14,8
U00227,24,Canada,Postgraduate,Cloud,Intermediate,DataCamp,Promotion,13,14
U00228,42,UK,Graduate,Data Science,Advanced,Udemy,College Project,21,39
U00229,24,Canada,Postgraduate,Mobile,Advanced,DataCamp,Certification,10,34
U00230,53,Canada,Graduate,Cybersecurity,Intermediate,DataCamp,Interview Prep,23,49
U00231,36,India,Postgraduate,Soft Skills,Advanced,FutureLearn,Career Switch,11,18
U00232,49,UK,Student,Design,Advanced,FutureLearn,Certification,21,48
U00233,24,UK,Graduate,Cloud,Beginner,DataCamp,Interview Prep,17,8
U00234,21,Canada,Postgraduate,AI,Intermediate,Udemy,College Project,5,1
U00235,51,Australia,Postgraduate,Cloud,Intermediate,DataCamp,Career Switch,10,28
U00236,34,India,Graduate,AI,Beginner,Khan Academy,Promotion,26,38
U00237,47,Canada,Student,Web,Intermediate,FutureLearn,Career Switch,10,7
U00238,52,Australia,Student,AI,Beginner,Udemy,Interview Prep,23,46
U00239,40,USA,Postgraduate,Programming,Advanced,Coursera,Promotion,25,22
U00240,28,Australia,Student,Web,Intermediate,LinkedIn Learning,Promotion,6,27
U00241,21,Germany,Graduate,Data Science,Intermediate,Udemy,Certification,5,11
U00242,41,Germany,Student,Soft Skills,Beginner,FutureLearn,College Project,29,3
U00243,28,UK,Postgraduate,Web,Intermediate,FutureLearn,Promotion,29,33
U00244,20,Australia,Postgraduate,Mobile,Intermediate,Coursera,Career Switch,24,23
U00245,27,USA,Graduate,Web,Intermediate,Coursera,Promotion,25,18
U00246,37,India,Graduate,Mobile,Beginner,edX,Promotion,10,13
U00247,40,Germany,Student,Soft Skills,Beginner,DataCamp,Upskilling,23,7
U00248,53,Australia,Graduate,Programming,Beginner,Udemy,Certification,26,17
U00249,32,Australia,Student,Cybersecurity,Advanced,FutureLearn,Promotion,8,7
U00250,20,Canada,Student,Design,Intermediate,Udemy,Certification,8,46
U00251,37,India,Student,Mobile,Intermediate,Khan Academy,Promotion,11,13
U00252,52,Germany,Postgraduate,Cloud,Beginner,Khan Academy,Upskilling,29,34
U00253,51,Canada,Postgraduate,Soft Skills,Advanced,Coursera,Career Switch,9,29
U00254,25,Germany,Student,Cloud,Advanced,DataCamp,College Project,21,40
U00255,19,Germany,Student,Mobile,Beginner,Khan Academy,Promotion,5,15
U00256,50,USA,Student,Soft Skills,Advanced,FutureLearn,Certification,29,5
U00257,43,Germany,Student,Soft Skills,Intermediate,Khan Academy,Promotion,6,19
U00258,21,USA,Graduate,Design,Advanced,Khan Academy,Career Switch,17,46
U00259,46,USA,Student,Cloud,Beginner,Coursera,Certification,22,39
U00260,38,India,Postgraduate,Programming,Advanced,Khan Academy,Upskilling,20,13
U00261,51,Canada,Student,Web,Intermediate,Khan Academy,College Project,5,1
U00262,35,USA,Student,Business,Intermediate,FutureLearn,Career Switch,22,14
U00263,22,Canada,Student,Programming,Advanced,LinkedIn Learning,Promotion,25,3
U00264,48,India,Student,Business,Beginner,LinkedIn Learning,Interview Prep,6,15
U00265,35,UK,Student,Design,Advanced,DataCamp,Promotion,25,22
U00266,20,Australia,Graduate,Data Science,Advanced,FutureLearn,Promotion,10,43
U00267,49,USA,Student,AI,Intermediate,LinkedIn Learning,Promotion,15,32
U00268,42,Germany,Postgraduate,Soft Skills,Intermediate,Skillshare,Certification,24,17
U00269,18,India,Student,Mobile,Intermediate,Coursera,Certification,19,49
U00270,45,Australia,Student,Cybersecurity,Intermediate,Skillshare,Interview Prep,23,14
U00271,32,USA,Graduate,Cybersecurity,Intermediate,FutureLearn,Interview Prep,20,21
U00272,33,India,Postgraduate,Data Science,Intermediate,Khan Academy,Career Switch,18,45
U00273,52,UK,Student,Mobile,Intermediate,Khan Academy,Promotion,8,31
U00274,36,UK,Postgraduate,Soft Skills,Intermediate,Coursera,College Project,18,13
U00275,40,UK,Student,Business,Intermediate,Skillshare,Upskilling,16,20
U00276,49,India,Postgraduate,Programming,Advanced,Udemy,Career Switch,17,32
U00277,39,USA,Postgraduate,Cloud,Beginner,Coursera,College Project,19,21
U00278,44,Australia,Postgraduate,Design,Intermediate,Coursera,College Project,27,16
U00279,21,USA,Student,Data Science,Advanced,Coursera,College Project,3,40
U00280,49,India,Graduate,Mobile,Beginner,LinkedIn Learning,Upskilling,9,48
U00281,18,India,Student,Business,Beginner,Coursera,Certification,25,36
U00282,29,Germany,Student,Mobile,Intermediate,Coursera,College Project,6,7
U00283,50,Germany,Postgraduate,Web,Beginner,Coursera,Promotion,16,8
U00284,39,India,Postgraduate,Soft Skills,Intermediate,edX,College Project,7,31
U00285,31,Australia,Postgraduate,AI,Intermediate,Udemy,College Project,23,12
U00286,27,USA,Graduate,Cloud,Intermediate,Udemy,Upskilling,13,39
U00287,32,India,Graduate,Web,Beginner,DataCamp,Career Switch,27,5
U00288,48,Canada,Graduate,AI,Beginner,Skillshare,Interview Prep,13,31
U00289,28,Germany,Graduate,Design,Advanced,DataCamp,Certification,17,33
U00290,37,India,Graduate,Cybersecurity,Advanced,Skillshare,Promotion,7,50
U00291,34,Germany,Postgraduate,Data Science,Advanced,edX,Career Switch,2,4
U00292,38,UK,Student,Data Science,Advanced,Udemy,Interview Prep,22,8
U00293,30,Australia,Student,Design,Beginner,Udemy,College Project,24,8
U00294,29,Australia,Graduate,Mobile,Advanced,Coursera,Certification,11,11
U00295,26,Germany,Postgraduate,AI,Beginner,DataCamp,College Project,20,8
U00296,46,UK,Graduate,Mobile,Intermediate,DataCamp,Interview Prep,16,44
U00297,25,UK,Graduate,Cybersecurity,Intermediate,Khan Academy,Career Switch,23,34
U00298,47,India,Student,Business,Advanced,FutureLearn,Promotion,19,18
U00299,35,USA,Student,Soft Skills,Intermediate,Udemy,Certification,30,30
U00300,42,India,Graduate,Web,Intermediate,Khan Academy,Career Switch,16,12
U00301,31,UK,Student,Cybersecurity,Intermediate,Udemy,Promotion,7,40
U00302,24,Germany,Graduate,Programming,Intermediate,LinkedIn Learning,Interview Prep,19,17
U00303,27,Australia,Graduate,Design,Advanced,Coursera,Certification,3,22
U00304,41,Australia,Postgraduate,AI,Beginner,DataCamp,Certification,29,35
U00305,32,Germany,Postgraduate,Business,Beginner,Khan Academy,College Project,17,17
U00306,32,Germany,Student,Data Science,Intermediate,DataCamp,Career Switch,26,12
U00307,28,Germany,Student,AI,Beginner,Udemy,Certification,21,42
U00308,37,UK,Postgraduate,Cybersecurity,Intermediate,DataCamp,College Project,29,3
U00309,30,Germany,Graduate,Web,Advanced,LinkedIn Learning,Career Switch,21,25
U00310,45,Canada,Graduate,Web,Beginner,DataCamp,Interview Prep,2,38
U00311,36,Germany,Student,Mobile,Advanced,LinkedIn Learning,Interview Prep,17,18
U00312,44,Canada,Student,Programming,Advanced,LinkedIn Learning,Certification,6,29
U00313,47,Canada,Postgraduate,Business,Advanced,edX,Certification,18,46
U00314,54,UK,Graduate,AI,Advanced,Coursera,Interview Prep,12,38
U00315,41,India,Student,Web,Advanced,Khan Academy,Interview Prep,13,16
U00316,53,Germany,Graduate,Cybersecurity,Intermediate,edX,Promotion,3,47
U00317,42,Australia,Postgraduate,Programming,Beginner,Khan Academy,Promotion,12,46
U00318,23,Australia,Graduate,AI,Beginner,edX,College Project,9,14
U00319,38,India,Postgraduate,Soft Skills,Advanced,Khan Academy,Interview Prep,22,22
U00320,27,Canada,Postgraduate,Soft Skills,Advanced,Udemy,College Project,19,0
U00321,44,UK,Graduate,Soft Skills,Advanced,Khan Academy,Promotion,7,14
U00322,28,India,Postgraduate,Programming,Intermediate,Udemy,Career Switch,22,36
U00323,28,UK,Graduate,Cybersecurity,Beginner,Skillshare,College Project,19,46
U00324,29,Australia,Student,Cloud,Beginner,Skillshare,Promotion,6,29
U00325,35,India,Student,Data Science,Beginner,FutureLearn,College Project,6,5
U00326,43,Canada,Postgraduate,Cloud,Advanced,LinkedIn Learning,Promotion,17,6
U00327,50,India,Student,AI,Beginner,Udemy,Certification,18,43
U00328,36,Germany,Graduate,Cloud,Advanced,Coursera,Interview Prep,3,3
U00329,30,USA,Graduate,Business,Intermediate,Coursera,Interview Prep,24,14
U00330,28,Canada,Postgraduate,Data Science,Advanced,Skillshare,Upskilling,24,22
U00331,35,Australia,Graduate,Cloud,Beginner,Coursera,College Project,16,10
U00332,18,UK,Postgraduate,Business,Beginner,FutureLearn,Promotion,2,27
U00333,41,Germany,Graduate,Mobile,Advanced,LinkedIn Learning,Upskilling,8,3
U00334,53,UK,Postgraduate,Mobile,Beginner,Udemy,Career Switch,12,9
U00335,30,USA,Student,Soft Skills,Intermediate,Udemy,Upskilling,29,25
U00336,50,UK,Graduate,Mobile,Beginner,FutureLearn,Interview Prep,28,25
U00337,52,USA,Student,Data Science,Intermediate,Khan Academy,College Project,2,25
U00338,29,USA,Postgraduate,AI,Intermediate,DataCamp,Upskilling,25,25
U00339,48,Germany,Graduate,Programming,Beginner,LinkedIn Learning,Career Switch,19,45
U00340,45,Germany,Postgraduate,Web,Intermediate,Coursera,Certification,27,28
U00341,38,Germany,Student,Cybersecurity,Beginner,DataCamp,College Project,15,33
U00342,46,UK,Postgraduate,AI,Advanced,FutureLearn,Promotion,19,34
U00343,48,USA,Graduate,AI,Intermediate,FutureLearn,Career Switch,11,37
U00344,45,USA,Student,Soft Skills,Beginner,edX,Upskilling,21,46
U00345,32,Germany,Graduate,Mobile,Beginner,LinkedIn Learning,Promotion,15,8
U00346,36,Germany,Graduate,Cybersecurity,Beginner,LinkedIn Learning,Certification,11,3
U00347,42,Australia,Graduate,Soft Skills,Beginner,FutureLearn,Career Switch,21,39
U00348,28,Australia,Postgraduate,Data Science,Beginner,Skillshare,Certification,15,32
U00349,31,Canada,Graduate,Data Science,Intermediate,Udemy,Career Switch,19,46
